color_name,color_code,color_fam
Hathaway Gold,194,yellow
Kurkuma,AF-350,yellow
Corduroy,2153-20,yellow
Golden Bark,2153-10,yellow
Vellum,207,yellow
Golden Tan,2152-40,yellow
Chestertown Buff,HC-9,yellow
Walk on the Beach®,CSP-975,yellow
Cork,2153-40,yellow
French Horn,195,yellow
Goldenhurst,196,yellow
America's Heartland,197,yellow
Cornsilk,198,yellow
Barley,199,yellow
Concord Ivory,HC-12,yellow
Stuart Gold,HC-10,yellow
Spicy Mustard,2154-20,yellow
Yellow Oxide,2154-10,yellow
Windham Cream,HC-6,yellow
Honeywheat,179,yellow
Country Comfort,305,yellow
Nacho Cheese,2018-40,yellow
Oxford Gold,315,yellow
Sunflower Fields,174,yellow
Mayan Gold,175,yellow
Old World Romance,303,yellow
Shooting Star,304,yellow
Morning Sunshine,2018-50,yellow
Sunny Days,172,yellow
Corn Husk,307,yellow
Golden Vista,308,yellow
Dash of Curry,2159-10,yellow
Soleil,AF-330,yellow
Popcorn Kernel,310,yellow
Sweet Butter,171,yellow
Lion Heart,306,yellow
Pan for Gold,181,yellow
Apple Crisp,2159-30,yellow
Peanut Butter,2159-20,yellow
Aura,169,yellow
Golden Lab,178,yellow
Yellow Topaz,CSP-945,yellow
York Harbor Yellow,2154-40,yellow
Bryant Gold,HC-7,yellow
Buttercup,2154-30,yellow
Glowing Umber,182,yellow
Golden Straw,2152-50,yellow
Dijon,193,yellow
Dorset Gold,HC-8,yellow
Hathaway Gold,194,yellow
Kurkuma,AF-350,yellow
Corduroy,2153-20,yellow
Golden Bark,2153-10,yellow
Vellum,207,yellow
Golden Tan,2152-40,yellow
Chestertown Buff,HC-9,yellow
Walk on the Beach®,CSP-975,yellow
Cork,2153-40,yellow
French Horn,195,yellow
Goldenhurst,196,yellow
America's Heartland,197,yellow
Cornsilk,198,yellow
Barley,199,yellow
Concord Ivory,HC-12,yellow
Stuart Gold,HC-10,yellow
Spicy Mustard,2154-20,yellow
Yellow Oxide,2154-10,yellow
Windham Cream,HC-6,yellow
Honeywheat,179,yellow
Country Comfort,305,yellow
Nacho Cheese,2018-40,yellow
Oxford Gold,315,yellow
Sunflower Fields,174,yellow
Mayan Gold,175,yellow
